/-----------------------------------------------------------------------------
| MonsterID	Map	Distance	X1	Y1	X2	Y2	Count
/-----------------------------------------------------------------------------
69	10	10	14	37	14	37	3
69	10	10	15	37	15	37	3
69	10	10	33	27	33	27	3
69	10	10	32	29	32	29	3
70	10	10	40	39	40	39	3
70	10	10	41	36	41	36	3
71	10	10	53	27	53	27	3
71	10	10	55	29	55	29	3
70	10	10	63	40	63	40	3
71	10	10	66	40	66	40	3
71	10	10	80	34	80	34	3
71	10	10	82	37	82	37	3
70	10	10	93	40	93	40	3
70	10	10	93	38	93	38	3
71	10	10	92	57	92	57	3
71	10	10	92	60	92	60	3
70	10	10	94	59	94	59	3
71	10	10	93	68	93	68	3
71	10	10	93	66	93	66	3
70	10	10	91	70	91	70	3
71	10	10	83	82	83	82	3
71	10	10	84	81	84	81	3
70	10	10	85	84	85	84	3
71	10	10	93	68	93	68	3
71	10	10	93	66	93	66	3
70	10	10	91	70	91	70	3
73	10	10	66	82	66	82	3
73	10	10	64	81	64	81	3
71	10	10	68	85	68	85	3
73	10	10	47	67	47	67	3
73	10	10	49	67	49	67	3
73	10	10	32	67	32	67	3
73	10	10	35	69	35	69	3
73	10	10	35	81	35	81	3
73	10	10	37	82	37	82	3
74	10	10	36	85	36	85	3
74	10	10	35	104	35	104	3
74	10	10	36	107	36	107	3
72	10	10	41	118	41	118	3
72	10	10	42	119	42	119	3
72	10	10	51	124	51	124	3
72	10	10	52	126	52	126	3
75	10	10	46	143	46	143	3
72	10	10	47	145	47	145	3
75	10	10	52	159	52	159	3
75	10	10	53	157	53	157	3
75	10	10	56	172	56	172	3
75	10	10	54	172	54	172	3
75	10	10	47	200	47	200	3
76	10	10	49	202	49	202	3
77	10	10	39	215	39	215	3
76	10	10	40	217	40	217	3
77	10	10	37	228	37	228	3
76	10	10	34	227	34	227	3
75	10	10	29	225	29	225	3
