//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//[Elveland] Silvia
//Type	Index	Level	Dur	Skill	Luck	Option																							
																												
7	39	5	0	0	1	1 																						
8	39	5	0	0	1	1 																					
9	39	5	0	0	1	1 																						
10	39	5	0	0	1	1 																					
11	39	5	0	0	1	1 																						
7	40	6	0	0	1	1 																						
8	40	6	0	0	1	1 																						
9	40	6	0	0	1	1 																						
10	40	6	0	0	1	1 																						
11	40	6	0	0	1	1 																						
																												
1	0	4	0	0	1	1 																					
0	1	3	0	0	1	1 																						
1	1	4	0	0	1	1 																						
0	2	5	0	1	1	1 																					
1	4	4	0	0	1	1 																					
0	0	4	0	0	1	1 																					
5	0	4	0	0	1	1 																						
5	14	4	0	0	1	1 																						
5	15	5	0	0	1	1 																					
5	16	6	0	0	1	1 																						
end																												
