//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//###########################################
// Monster Skill Script
//###########################################

//Index	Name			Type0	Unit0	Type1	Unit1	Type2	Unit2	Type3	Unit3	Type4	Unit4	Type5	Unit5	Type6	Unit6	Type7	Unit7	Type8	Unit8	Type9	Unit9
0																					
// Aida
304	"Witch Queen"		0	4	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
305	"Blue Golem"		0	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
309	"Hell Maine"		0	2	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
// Crywolf
340	"Dark Elf"		30	6	21	7	0	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
341	"Soram"			0	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
344	"Balram"		                  0	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
345	"Death Spirit"		0	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
349	"Balgass"		0	12	0	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
// Kantru																					
355	"Kentauros"		-1	-1	0	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
358	"Persona"		-1	-1	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
359	"Twin Tale"		-1	-1	0	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
360	"Dreadfear"		-1	-1	0	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1

361	"Nightmare"		0	18	1	19	30	20	2	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1

362	"Maya Hand"		0	23	2	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
363	"Maya Hand"		0	23	2	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
364	"Maya"			31	25	1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
// Illusion Temple
388	"Illusion Spirit"	                  0	28	0	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
391	"Illusion Spirit"	                  0	28	0	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
394	"Illusion Spirit"	                  0	28	0	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
397	"Illusion Spirit"	                  0	28	0	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
400	"Illusion Spirit"	                  0	28	0	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
403	"Illusion Spirit"	                  0	28	0	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
// Quest
412	"Dark Elf (Hero)"	                  0	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
440	"Dark Elf (HeroDS)"	0	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
//Raklion
454	"Ice Walker"		0	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
455	"Giant Mammoth"		0	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
456	"Ice Giant"		0	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
457	"Coolutin"		0	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
458	"Iron Knight"		0	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
459	"Selupan"		31	37	0	34	0	35	0	36	30	38	20	39	0	40	0	41	10	42	1	43
//
504	"Gaion Kharerin" 	0	67	0	64	0	65	0	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
505	"Jerint"		-1	-1	0	55	0	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
506	"Raymond"		-1	-1	0	60	0	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
507	"Erkanne"		-1	-1	0	62	0	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
508	"Destler"		-1	-1	0	57	0	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
509	"Vermont"		-1	-1	0	60	0	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
510	"Kato"			-1	-1	0	58	0	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
511	"Galia"			-1	-1	0	58	0	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
514	"Knight Command" 	-1	-1	0	47	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
515	"Grand Wizard"		-1	-1	0	51	0	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
516	"Master Assasin" 	-1	-1	0	47	0	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
517	"Cavalry Captain" 	-1	-1	0	54	-1	-1	0	56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
518	"Shield Bearer" 	-1	-1	0	44	0	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1 	-1
519	"Medic"			-1	-1	44	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
end																		
